"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Cameron Meredith","CHI","10","WR","16","11","0","120","0","0","0","1","68.8","12.38","7.5","10.91","3.91","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","23","0.17","2.09"
"Christopher Harper","NE","5","WR","2","1","0","6","0","0","0","0","50","21","3","6","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.6","0.02","1.6"
"Quan Bray","IND","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Stefon Diggs","MIN","13","WR","77","52","1","720","2","4","1","2","67.5","10.99","9.35","13.85","5.77","","","","","","","","","","","","3","0","13","0","0","0","4.33","1.33","0","0","2","","","","","","","","","0","0","149.3","0.23","2.71"
"Rashad Greene Sr.","JAX","9","WR","34","19","0","93","0","2","0","4","55.9","6.12","2.74","4.89","2.74","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","40.3","0.24","2.12"
"Justin Hardy","ATL","9","WR","34","21","0","194","0","0","0","2","61.8","9.68","5.71","9.24","3.1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","40.4","0.12","1.92"
"Chris Conley","KC","16","WR","30","17","1","199","0","1","0","2","56.7","11.3","6.63","11.71","4.12","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","42.9","0.12","2.52"
"Dorial Green-Beckham","TEN","16","WR","63","32","1","549","2","4","1","3","50.8","14.08","8.71","17.16","4.59","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","1","1","110.9","0.19","3.47"
"Seantavius Jones","NO","2","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Brandon Coleman","NO","16","WR","48","30","0","454","0","2","0","5","62.5","13.92","9.46","15.13","3.9","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","87.4","0.2","2.91"
